warning_type,category
QF_QUESTIONABLE_FOR_LOOP,Dodgy code (STYLE)
NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,Dodgy code (STYLE)
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,Dodgy code (STYLE)
UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,Dodgy code (STYLE)
UC_USELESS_VOID_METHOD,Dodgy code (STYLE)
UC_USELESS_CONDITION,Dodgy code (STYLE)
UC_USELESS_CONDITION_TYPE,Dodgy code (STYLE)
UC_USELESS_OBJECT,Dodgy code (STYLE)
UC_USELESS_OBJECT_STACK,Dodgy code (STYLE)
RV_RETURN_VALUE_IGNORED_INFERRED,Dodgy code (STYLE)
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,Dodgy code (STYLE)
RV_CHECK_FOR_POSITIVE_INDEXOF,Dodgy code (STYLE)
RV_DONT_JUST_NULL_CHECK_READLINE,Dodgy code (STYLE)
NP_PARAMETER_MUST_BE_NONNULL_BUT_MARKED_AS_NULLABLE,Dodgy code (STYLE)
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,Dodgy code (STYLE)
NP_NULL_ON_SOME_PATH_MIGHT_BE_INFEASIBLE,Dodgy code (STYLE)
NP_LOAD_OF_KNOWN_NULL_VALUE,Dodgy code (STYLE)
PZLA_PREFER_ZERO_LENGTH_ARRAYS,Dodgy code (STYLE)
UCF_USELESS_CONTROL_FLOW,Dodgy code (STYLE)
UCF_USELESS_CONTROL_FLOW_NEXT_LINE,Dodgy code (STYLE)
RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE,Dodgy code (STYLE)
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,Dodgy code (STYLE)
RCN_REDUNDANT_COMPARISON_TWO_NULL_VALUES,Dodgy code (STYLE)
RCN_REDUNDANT_COMPARISON_OF_NULL_AND_NONNULL_VALUE,Dodgy code (STYLE)
SA_LOCAL_SELF_ASSIGNMENT,Dodgy code (STYLE)
INT_BAD_REM_BY_1,Dodgy code (STYLE)
INT_VACUOUS_COMPARISON,Dodgy code (STYLE)
INT_VACUOUS_BIT_OPERATION,Dodgy code (STYLE)
SA_LOCAL_DOUBLE_ASSIGNMENT,Dodgy code (STYLE)
SA_FIELD_DOUBLE_ASSIGNMENT,Dodgy code (STYLE)
DLS_DEAD_LOCAL_STORE_IN_RETURN,Dodgy code (STYLE)
DLS_DEAD_LOCAL_STORE,Dodgy code (STYLE)
DLS_DEAD_LOCAL_STORE_SHADOWS_FIELD,Dodgy code (STYLE)
DLS_DEAD_LOCAL_STORE_OF_NULL,Dodgy code (STYLE)
REC_CATCH_EXCEPTION,Dodgy code (STYLE)
DCN_NULLPOINTER_EXCEPTION,Dodgy code (STYLE)
FE_FLOATING_POINT_EQUALITY,Dodgy code (STYLE)
CD_CIRCULAR_DEPENDENCY,Dodgy code (STYLE)
RI_REDUNDANT_INTERFACES,Dodgy code (STYLE)
MTIA_SUSPECT_STRUTS_INSTANCE_FIELD,Dodgy code (STYLE)
MTIA_SUSPECT_SERVLET_INSTANCE_FIELD,Dodgy code (STYLE)
PS_PUBLIC_SEMAPHORES,Dodgy code (STYLE)
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,Dodgy code (STYLE)
ICAST_IDIV_CAST_TO_DOUBLE,Dodgy code (STYLE)
BC_BAD_CAST_TO_CONCRETE_COLLECTION,Dodgy code (STYLE)
BC_UNCONFIRMED_CAST,Dodgy code (STYLE)
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,Dodgy code (STYLE)
BC_VACUOUS_INSTANCEOF,Dodgy code (STYLE)
BC_BAD_CAST_TO_ABSTRACT_COLLECTION,Dodgy code (STYLE)
IM_BAD_CHECK_FOR_ODD,Dodgy code (STYLE)
IM_AVERAGE_COMPUTATION_COULD_OVERFLOW,Dodgy code (STYLE)
ICAST_QUESTIONABLE_UNSIGNED_RIGHT_SHIFT,Dodgy code (STYLE)
DMI_HARDCODED_ABSOLUTE_FILENAME,Dodgy code (STYLE)
DMI_USELESS_SUBSTRING,Dodgy code (STYLE)
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,Dodgy code (STYLE)
DMI_NONSERIALIZABLE_OBJECT_WRITTEN,Dodgy code (STYLE)
DB_DUPLICATE_BRANCHES,Dodgy code (STYLE)
DB_DUPLICATE_SWITCH_CLAUSES,Dodgy code (STYLE)
XFB_XML_FACTORY_BYPASS,Dodgy code (STYLE)
USM_USELESS_SUBCLASS_METHOD,Dodgy code (STYLE)
USM_USELESS_ABSTRACT_METHOD,Dodgy code (STYLE)
CI_CONFUSED_INHERITANCE,Dodgy code (STYLE)
TQ_EXPLICIT_UNKNOWN_SOURCE_VALUE_REACHES_NEVER_SINK,Dodgy code (STYLE)
TQ_EXPLICIT_UNKNOWN_SOURCE_VALUE_REACHES_ALWAYS_SINK,Dodgy code (STYLE)
NP_METHOD_RETURN_RELAXING_ANNOTATION,Dodgy code (STYLE)
NP_METHOD_PARAMETER_TIGHTENS_ANNOTATION,Dodgy code (STYLE)
